work_order_id,asset_id,asset_type,asset_location,work_order_type,priority,created_date,completed_date,technician_id,labor_hours,parts_used,total_cost,failure_mode,root_cause,technician_notes,equipment_age_months,last_maintenance_days,downtime_hours,temperature_reading,vibration_level,pressure_reading,oil_condition,next_maintenance_due
WO-2024-001,PUMP-001,Centrifugal Pump,Building A - Floor 1,Corrective,High,1/15/2023,1/15/2023,TECH-001,4.5,"{""bearing"": 2, ""seal"": 1}",647.25,Bearing Failure,Insufficient lubrication,Addressed bearing failure. Replaced worn components. System restored to normal operation.,36,85,2.3,72.4,3.2,145.7,4,4/15/2023
WO-2024-002,MOTOR-012,Electric Motor,Building B - Floor 2,Preventive,Low,1/18/2023,1/18/2023,TECH-002,2,"{""oil"": 1, ""filter"": 1}",233.75,None,Scheduled maintenance,Routine maintenance completed successfully. All parameters within normal range.,22,45,0.5,68.3,2.1,NULL,5,4/18/2023
WO-2024-003,CONV-005,Belt Conveyor,Warehouse - Zone C,Emergency,Critical,1/22/2023,1/22/2023,TECH-003,6.5,"{""belt"": 1, ""bearing"": 2}",1083.5,Belt Failure,Operating stress,Addressed belt failure. Replaced worn components. System restored to normal operation.,7,30,3.8,NULL,4.8,NULL,3,3/22/2023
WO-2024-004,COMP-002,Air Compressor,Utility Room - East,Corrective,Medium,1/25/2023,1/25/2023,TECH-004,3.5,"{""valve"": 1, ""gasket"": 2}",629,Valve Failure,Normal wear and tear,Addressed valve failure. Replaced worn components. System restored to normal operation.,44,120,1.8,NULL,2.7,156.3,4,5/25/2023
WO-2024-005,FAN-003,Exhaust Fan,Building A - Roof,Preventive,Medium,1/28/2023,1/28/2023,TECH-005,1.5,"{""oil"": 1}",162.75,None,Scheduled maintenance,Preventive service performed. No issues detected. Equipment running smoothly.,26,60,0.3,NULL,1.9,NULL,4,4/28/2023
WO-2024-006,PUMP-007,Gear Pump,Building C - Floor 3,Corrective,High,2/2/2023,2/2/2023,TECH-001,5,"{""gear"": 1, ""seal"": 2}",516.5,Gear Wear,Environmental conditions,Addressed gear wear. Replaced worn components. System restored to normal operation.,52,95,2.7,75.2,3.8,165.4,3,5/2/2023
WO-2024-007,MOTOR-025,Servo Motor,Production Line 2,Preventive,Low,2/5/2023,2/5/2023,TECH-002,1.8,"{""oil"": 1}",188.25,None,Scheduled maintenance,"Regular maintenance cycle completed. Oil changed, filters replaced. Good condition overall.",17,35,0.4,67.9,1.7,NULL,5,5/5/2023
WO-2024-008,VALVE-008,Control Valve,Process Room A,Corrective,Medium,2/8/2023,2/8/2023,TECH-003,4.2,"{""seal"": 1, ""gasket"": 1}",418.2,Seal Leak,Operating stress,Addressed seal leak. Replaced worn components. System restored to normal operation.,38,78,1.9,NULL,2.5,NULL,4,4/8/2023
WO-2024-009,HEAT-001,Heat Exchanger,Building B - Basement,Emergency,Critical,2/12/2023,2/12/2023,TECH-004,7.8,"{""gasket"": 3, ""seal"": 2}",755.8,Gasket Failure,Normal wear and tear,Addressed gasket failure. Replaced worn components. System restored to normal operation.,70,145,3.2,72.1,4.2,NULL,2,4/12/2023
WO-2024-010,TURB-004,Turbine,Power Generation Unit,Preventive,Low,2/15/2023,2/15/2023,TECH-005,2.5,"{""oil"": 2, ""filter"": 1}",271,None,Scheduled maintenance,Scheduled inspection completed. Minor adjustments made. System operating normally.,83,90,0.6,NULL,2.8,NULL,4,5/15/2023
WO-2024-011,PUMP-001,Centrifugal Pump,Building A - Floor 1,Preventive,Medium,2/18/2023,2/18/2023,TECH-001,1.9,"{""oil"": 1, ""seal"": 1}",242.25,None,Scheduled maintenance,Preventive maintenance performed as scheduled. All checks passed. No concerns noted.,36,32,0.7,74.3,2.4,142.8,4,5/18/2023
WO-2024-012,MOTOR-012,Electric Motor,Building B - Floor 2,Corrective,High,2/22/2023,2/22/2023,TECH-002,5.8,"{""bearing"": 2, ""oil"": 1}",528.55,Bearing Wear,Insufficient lubrication,Addressed bearing wear. Replaced worn components. System restored to normal operation.,22,67,2.1,69.7,4.1,NULL,3,5/22/2023
WO-2024-013,CONV-005,Belt Conveyor,Warehouse - Zone C,Preventive,Low,2/25/2023,2/25/2023,TECH-003,2.2,"{""oil"": 1, ""bearing"": 1}",322.25,None,Scheduled maintenance,Routine maintenance completed successfully. All parameters within normal range.,7,25,0.8,NULL,2.3,NULL,5,5/25/2023
WO-2024-014,COMP-002,Air Compressor,Utility Room - East,Emergency,Critical,3/1/2023,3/1/2023,TECH-004,8.5,"{""valve"": 2, ""bearing"": 1}",1067,Pressure Loss,Operating stress,Addressed pressure loss. Replaced worn components. System restored to normal operation.,44,156,4.1,NULL,5.2,0,2,6/1/2023
WO-2024-015,FAN-003,Exhaust Fan,Building A - Roof,Corrective,Medium,3/5/2023,3/5/2023,TECH-005,3.8,"{""belt"": 1, ""bearing"": 1}",728.5,Belt Wear,Normal wear and tear,Addressed belt wear. Replaced worn components. System restored to normal operation.,26,89,1.6,NULL,3.4,NULL,3,6/5/2023
WO-2024-016,PUMP-007,Gear Pump,Building C - Floor 3,Preventive,Low,3/8/2023,3/8/2023,TECH-001,1.7,"{""oil"": 1}",179.75,None,Scheduled maintenance,Preventive service performed. No issues detected. Equipment running smoothly.,52,31,0.5,73.8,1.8,158.2,5,6/8/2023
WO-2024-017,MOTOR-025,Servo Motor,Production Line 2,Corrective,High,3/12/2023,3/12/2023,TECH-002,6.2,"{""bearing"": 1, ""oil"": 1}",687.45,Overheating,Environmental conditions,Addressed overheating. Replaced worn components. System restored to normal operation.,17,54,2.8,78.4,4.6,NULL,3,6/12/2023
WO-2024-018,VALVE-008,Control Valve,Process Room A,Preventive,Medium,3/15/2023,3/15/2023,TECH-003,2.1,"{""gasket"": 2, ""oil"": 1}",247,None,Scheduled maintenance,"Regular maintenance cycle completed. Oil changed, filters replaced. Good condition overall.",38,42,0.9,NULL,2.1,NULL,4,6/15/2023
